pair_id,status,lat,lon,confidence,clip_score,visual_change_score,pixel_x,pixel_y,z,block_x,block_y,old_image,new_image
0063,new_building,40.20778276,29.1329661,0.3942,0.9938,66.8099,506.5,113.0,18,152284,99044,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0063.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0063.png
0064,new_building,40.20565064,29.13037074,0.5029,0.9869,65.9382,22.69,121.42,18,152284,99046,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0064.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0064.png
0064,new_building,40.20474443,29.13128757,0.3236,0.9943,66.1833,193.6,342.61,18,152284,99046,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0064.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0064.png
0065,new_building,40.20361576,29.13093862,0.8831,0.9962,60.7725,128.55,106.09,18,152284,99048,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0065.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0065.png
0065,new_building,40.20375113,29.13127132,0.7808,0.9975,63.9352,190.57,73.05,18,152284,99048,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0065.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0065.png
0065,new_building,40.202566,29.1307455,0.7633,0.9738,67.1827,92.55,362.31,18,152284,99048,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0065.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0065.png
0065,new_building,40.20306011,29.13046145,0.7495,0.9948,61.9488,39.6,241.71,18,152284,99048,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0065.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0065.png
0065,new_building,40.2040231,29.1307882,0.7341,0.9952,62.3193,100.51,6.67,18,152284,99048,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0065.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0065.png
0065,new_building,40.20363224,29.13140178,0.6997,0.9979,64.8726,214.89,102.07,18,152284,99048,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0065.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0065.png
0065,new_building,40.20393706,29.13038914,0.5016,0.9695,64.5519,26.12,27.67,18,152284,99048,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0065.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0065.png
0065,new_building,40.20288967,29.13079684,0.3783,0.9936,65.2555,102.12,283.31,18,152284,99048,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0065.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0065.png
0065,new_building,40.20274787,29.13137346,0.344,0.9974,59.402,209.61,317.92,18,152284,99048,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0065.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0065.png
0065,new_building,40.20197522,29.13120121,0.3089,0.8824,65.1332,177.5,506.5,18,152284,99048,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0065.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0065.png
0066,new_building,40.20146713,29.13239817,0.9288,0.9661,58.2003,400.63,118.51,18,152284,99050,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0066.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0066.png
0066,new_building,40.20154317,29.13270185,0.7716,0.9982,67.8079,457.24,99.95,18,152284,99050,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0066.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0066.png
0066,new_building,40.20122896,29.13167768,0.6262,0.7204,56.4447,266.32,176.64,18,152284,99050,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0066.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0066.png
0066,new_building,40.20163737,29.13269112,0.4569,0.9991,70.6828,455.24,76.96,18,152284,99050,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0066.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0066.png
